Text,Link,Date
Video: Man clings to boulder in Wayanad floods in desperate bid to save himself,https://www.indiatoday.in/india/kerala/video/video-man-clings-to-boulder-in-wayanad-floods-in-desperate-bid-to-save-himself-2573757-2024-07-30,2024-07-30
These rules were violated by Delhi coaching centre where 3 students died,https://www.indiatoday.in/india/story/delhi-coaching-centre-raus-ias-study-circle-construction-bylaws-violated-2573553-2024-07-30,2024-07-30
How vultures at Delhi's IAS factory feast on dreams of aspirants,https://www.indiatoday.in/india/story/delhi-upsc-ias-coaching-factory-old-rajinder-nagar-karol-bagh-aspirants-nightmares-exploitation-landlords-coaching-classes-2573235-2024-07-29,2024-07-29
Families of students killed in Delhi basement flooding to get Rs 10 lakh each,https://www.indiatoday.in/india/story/delhi-coaching-centre-basement-flooding-lg-vk-saxena-financial-aid-compensation-students-killed-2573547-2024-07-30,2024-07-30
5 arrested in Delhi coaching centre deaths case sent to 14-days judicial custody,https://www.indiatoday.in/india/story/delhi-ias-coaching-centre-flooding-deaths-student-basement-arrests-2573146-2024-07-29,2024-07-29
"Parliament hots up over coaching centre deaths, Akhilesh Yadav's bulldozer barb",https://www.indiatoday.in/india/story/delhi-coaching-centre-death-flooding-lok-sabha-rajya-sabha-bansuri-swaraj-akhilesh-yadav-sashi-tharoor-jagdeep-dhankhar-2573223-2024-07-29,2024-07-29
"New video shows books floating, water level rising steadily in Delhi coaching centre",https://www.indiatoday.in/cities/delhi/video/video-water-accumulating-in-delhi-coaching-centre-where-3-ias-aspirants-died-2573136-2024-07-29,2024-07-29
"Delhi coaching centre ignored norms, leading to fatal basement flooding",https://www.indiatoday.in/india/story/mcd-delhi-coaching-centre-old-rajinder-nagar-flouted-norms-basement-flooding-upsc-aspirants-2573049-2024-07-29,2024-07-29
Who were 3 students killed in Delhi IAS coaching centre flooding?,https://www.indiatoday.in/india/story/delhi-raus-ias-civil-service-coaching-centre-death-flood-shreya-yadav-tania-soni-navin-dalwin-2572918-2024-07-28,2024-07-28
Video: Man rows mattress as roads outside New Delhi railway station flood after heavy rain,https://www.indiatoday.in/india/video/delhi-rain-man-on-mattress-2572183-2024-07-26,2024-07-26
Rain fury across Maharashtra; Anil Deshmukh's big allegation against Devendra Fadnavis,https://www.indiatoday.in/programme/india-s-agenda/video/rain-fury-across-maharashtra-anil-deshmukh-big-allegation-against-devendra-fadnavis-2571598-2024-07-25,2024-07-25
"Video: Rain batters Pune for 2nd straight day; roads waterlogged, homes flooded",https://www.indiatoday.in/india/video/video-rain-batters-pune-for-2nd-straight-day-roads-waterlogged-homes-flooded-2571541-2024-07-25,2024-07-25
Opinion: Budget money in the Andhra wallet gives Chandrababu Naidu political wings,https://www.indiatoday.in/opinion/story/union-budget-andhra-pradesh-gets-big-chandrababu-naidu-narendra-modi-political-wings-2571058-2024-07-24,2024-07-24
"Centre announces Rs 11,500 crore support plan for flood control, irrigation",https://www.indiatoday.in/india/story/centre-announces-rs-11500-crore-support-plan-flood-control-irrigation-2570670-2024-07-23,2024-07-23
"Memes flood internet as BCCI announce ODI, T20I squad for Sri Lanka tour",https://www.indiatoday.in/sports/cricket/story/memes-flood-internet-as-bcci-announce-odi-t20i-squad-for-sri-lanka-tour-2568760-2024-07-18,2024-07-18
"Severe storm causes flooding in Toronto, tornado hits New York",https://www.indiatoday.in/world/story/toronto-storm-flood-power-cuts-new-york-community-tornado-2568370-2024-07-18,2024-07-18
A year's worth of rain falls in a day: China's Henan drowns in flood,https://www.indiatoday.in/environment/story/a-years-worth-of-rain-falls-in-a-day-chinas-henan-drowns-in-flood-2568127-2024-07-17,2024-07-17
"Torrential rain triggers flash flooding, power outage in Canada's Toronto",https://www.indiatoday.in/world/story/torrential-rain-triggers-flash-flooding-power-outage-canadas-toronto-2567878-2024-07-17,2024-07-17
