Text,Link,Date
Why Taiwan is a hotspot for deadly earthquakes,https://www.indiatoday.in/science/story/taiwan-earthquake-ring-of-fire-pacific-ocean-tectonic-plates-2523199-2024-04-04,2024-04-04
Earthquake of magnitude 6 strikes Japan day after Taiwan disaster,https://www.indiatoday.in/world/story/japan-earthquake-magnitude-day-after-taiwan-disaster-2523072-2024-04-04,2024-04-04
"9 dead in Taiwan earthquake, injuries top 1,000; 38 hotel workers missing",https://www.indiatoday.in/world/story/taiwan-earthquake-news-death-toll-injuries-latest-updates-hotel-workers-missing-buildings-2523076-2024-04-04,2024-04-04
"Trembling bridges, collapsing buildings: Taiwan grapples with powerful earthquake",https://www.indiatoday.in/world/video/trembling-bridges-collapsing-buildings-taiwan-grapples-with-powerful-earthquake-2523048-2024-04-04,2024-04-04
Earthquake of magnitude 5.5 hits China’s Qinghai,https://www.indiatoday.in/world/story/earthquake-of-magnitude-55-hits-chinas-qinghai-2523007-2024-04-04,2024-04-04
"Watch: Office building shakes, bridge sways as massive earthquake jolts Taiwan",https://www.indiatoday.in/world/video/office-building-shakes-bridge-sways-massive-earthquake-jolts-taiwan-multiple-dead-injured-2522869-2024-04-03,2024-04-03
PM Modi expresses solidarity with people of earthquake-hit Taiwan,https://www.indiatoday.in/india/story/taiwan-earthquake-update-pm-modi-expresses-solidarity-with-people-2522865-2024-04-03,2024-04-03
"Taiwan earthquake could lead to delay in iPhone, MacBook production and launches",https://www.indiatoday.in/technology/news/story/taiwan-earthquake-could-possibly-lead-to-delay-in-iphone-and-macbook-production-2522855-2024-04-03,2024-04-03
"7 dead, over 700 injured as big earthquake hits Taiwan, strongest in 25 years",https://www.indiatoday.in/world/story/magnitude-of-75-earthquake-strikes-japan-tsunami-warning-issued-2522510-2024-04-03,2024-04-03
"Watch: Tilted buildings, massive landslides in Taiwan as 7.4 earthquake strikes",https://www.indiatoday.in/world/video/watch-tilted-buildings-massive-landslides-in-taiwan-as-74-quake-strikes-2522523-2024-04-03,2024-04-03
7.5 magnitude earthquake hit Taiwan; Delhi High Court to hear Kejriwal's plea,https://www.indiatoday.in/programme/first-up/video/75-magnitude-earthquake-hit-taiwan-delhi-high-court-to-hear-kejriwals-plea-2522637-2024-04-03,2024-04-03
"Magnitude of 6.1 earthquake strikes Japan, no tsunami warning issued",https://www.indiatoday.in/world/story/magnitude-61-earthquake-strikes-japan-no-tsunami-warning-issued-2522029-2024-04-02,2024-04-02
Earthquake of 5.7 magnitude hits Greece,https://www.indiatoday.in/world/story/earthquake-greece-richter-scale-no-injuries-or-damage-reported-2520818-2024-03-29,2024-03-29
Multiple earthquakes over magnitude 4.0 hit Afghanistan in 24 hours,https://www.indiatoday.in/world/story/earthquakes-afghanistan-tremors-magnitude-richter-scale-2520560-2024-03-29,2024-03-29
SS Rajamouli and family experience earthquake in Japan,https://www.indiatoday.in/movies/regional-cinema/story/ss-rajamouli-and-family-experience-earthquake-in-japan-2517523-2024-03-21,2024-03-21
Earthquake of 5.5 magnitude hits Pakistan,https://www.indiatoday.in/world/story/earthquake-of-55-magnitude-hits-pakistan-india-china-south-asia-afghanisatn-2517031-2024-03-20,2024-03-20
Earthquake of 5.2 magnitude hits Kargil in Ladakh,https://www.indiatoday.in/india/story/jammu-and-kashmir-kargil-ladakh-earthquake-today-magnitude-epicentre-2504340-2024-02-19,2024-02-19
